Time, Operation, Operation_name, Description
05:06:06.373,CreateDatabaseIfNotExist,[couchdb],Created state database mychannel__lifecycle$$h_implicit_org_$org2$m$s$p
05:06:07.871,CommitLegacy,[kvledger],[mychannel] Committed block [4] with 1 transaction(s) in 2170ms (state_validation=922ms block_and_pvtdata_commit=309ms state_commit=804ms) commitHash=[0d6422a91bb4cf108af426791c13c91d05571fafbb9b77f3bcb289fc991b8e2c]
05:06:10.888,StoreBlock,[gossip.privdata],[mychannel] Received block [5] from buffer
05:06:10.890,Validate,[committer.txvalidator],[mychannel] Validated block [5] in 1ms
05:06:10.890,prepareBlockPvtdata,[gossip.privdata],Successfully fetched all eligible collection private write sets for block [5] channel=mychannel
05:06:10.910,update,[lifecycle],Updating cached definition for chaincode 'fabcar' on channel 'mychannel'
05:06:10.964,HandleStateUpdates,[cceventmgmt],Channel [mychannel]: Handling deploy or update of chaincode [fabcar]
05:06:14.265,CommitLegacy,[kvledger],[mychannel] Committed block [5] with 1 transaction(s) in 3374ms (state_validation=85ms block_and_pvtdata_commit=1359ms state_commit=1609ms) commitHash=[4a2dae288556d5345a1e9c4e3e06faf51935e1bbd35cd282b473340c41c8fe1d]
05:06:26.007,StoreBlock,[gossip.privdata],[mychannel] Received block [6] from buffer
05:06:26.052,Validate,[committer.txvalidator],[mychannel] Validated block [6] in 44ms
05:06:26.052,prepareBlockPvtdata,[gossip.privdata],Successfully fetched all eligible collection private write sets for block [6] channel=mychannel
05:06:27.076,CreateDatabaseIfNotExist,[couchdb],Created state database mychannel_fabcar
05:06:27.852,CommitLegacy,[kvledger],[mychannel] Committed block [6] with 1 transaction(s) in 1800ms (state_validation=0ms block_and_pvtdata_commit=299ms state_commit=1351ms) commitHash=[dcb39fc2e3455a970c6e5bc370fa87403b7dfa0fd66c54b0c370b87028823258]
05:15:21.841,StoreBlock,[gossip.privdata],[mychannel] Received block [7] from buffer
05:15:21.842,Validate,[committer.txvalidator],[mychannel] Validated block [7] in 0ms
05:15:21.842,prepareBlockPvtdata,[gossip.privdata],Successfully fetched all eligible collection private write sets for block [7] channel=mychannel
05:15:22.853,CommitLegacy,[kvledger],[mychannel] Committed block [7] with 1 transaction(s) in 1011ms (state_validation=0ms block_and_pvtdata_commit=273ms state_commit=679ms) commitHash=[75960047774dd39383a1da9d633851e36a0a573bd89a33ed03ba61613969b695]
05:15:22.865,1,[comm.grpc.server],streaming call completed grpc.service=protos.Deliver grpc.method=DeliverFiltered grpc.peer_address=172.23.0.1:46674 grpc.peer_subject="CN=fabric-common" error="context finished before block retrieved: context canceled" grpc.code=Unknown grpc.call_duration=3.526576436s
