Time, Operation, Operation_name, Description
04:31:03.267,1,[comm.grpc.server],unary call completed grpc.service=protos.Endorser grpc.method=ProcessProposal grpc.peer_address=172.22.0.18:37914 grpc.code=OK grpc.call_duration=1.205394537s
04:31:05.531,StoreBlock,[gossip.privdata],[mychannel] Received block [3] from buffer
04:31:05.533,Validate,[committer.txvalidator],[mychannel] Validated block [3] in 1ms
04:31:05.534,prepareBlockPvtdata,[gossip.privdata],Successfully fetched all eligible collection private write sets for block [3] channel=mychannel
04:31:06.484,CommitLegacy,[kvledger],[mychannel] Committed block [3] with 1 transaction(s) in 949ms (state_validation=71ms block_and_pvtdata_commit=309ms state_commit=470ms) commitHash=[fe0ae343dc08680b1ed41f149981cb651bb18ffe2ceefdb08d4fc020f338c3df]
04:31:06.486,1,[comm.grpc.server],streaming call completed grpc.service=protos.Deliver grpc.method=DeliverFiltered grpc.request_deadline=2020-03-19T04:31:33.269Z grpc.peer_address=172.22.0.18:37916 error="context finished before block retrieved: context canceled" grpc.code=Unknown grpc.call_duration=3.217317067s
04:32:40.613,StoreBlock,[gossip.privdata],[mychannel] Received block [4] from buffer
04:32:40.615,Validate,[committer.txvalidator],[mychannel] Validated block [4] in 1ms
04:32:40.615,prepareBlockPvtdata,[gossip.privdata],Successfully fetched all eligible collection private write sets for block [4] channel=mychannel
04:32:41.368,CreateDatabaseIfNotExist,[couchdb],Created state database mychannel__lifecycle$$h_implicit_org_$org2$m$s$p
04:32:42.271,CommitLegacy,[kvledger],[mychannel] Committed block [4] with 1 transaction(s) in 1655ms (state_validation=809ms block_and_pvtdata_commit=243ms state_commit=536ms) commitHash=[0d6422a91bb4cf108af426791c13c91d05571fafbb9b77f3bcb289fc991b8e2c]
04:32:42.956,CheckCommitReadiness,[lifecycle],Successfully checked commit readiness of chaincode name 'fabcar' on channel 'mychannel' with definition {sequence: 1 endorsement info: (version: '1.0' plugin: 'escc' init required: false) validation info: (plugin: 'vscc' policy: '0a28120c120a080212020800120208011a0b12090a074f7267314d53501a0b12090a074f7267324d5350') collections: (<nil>)}
04:32:42.957,CommitChaincodeDefinition,[lifecycle],Successfully endorsed commit for chaincode name 'fabcar' on channel 'mychannel' with definition {sequence: 1 endorsement info: (version: '1.0' plugin: 'escc' init required: false) validation info: (plugin: 'vscc' policy: '0a28120c120a080212020800120208011a0b12090a074f7267314d53501a0b12090a074f7267324d5350') collections: (<nil>)}
04:32:42.958,callChaincode,[endorser],finished chaincode: _lifecycle duration: 52ms channel=mychannel txID=2a5ba0a0
04:32:42.958,1,[comm.grpc.server],unary call completed grpc.service=protos.Endorser grpc.method=ProcessProposal grpc.peer_address=172.22.0.18:38224 grpc.code=OK grpc.call_duration=53.304785ms
04:32:45.302,StoreBlock,[gossip.privdata],[mychannel] Received block [5] from buffer
04:32:45.303,Validate,[committer.txvalidator],[mychannel] Validated block [5] in 1ms
04:32:45.304,prepareBlockPvtdata,[gossip.privdata],Successfully fetched all eligible collection private write sets for block [5] channel=mychannel
04:32:45.306,update,[lifecycle],Updating cached definition for chaincode 'fabcar' on channel 'mychannel'
04:32:45.319,update,[lifecycle],Chaincode with package ID 'fabcarv1:45097293189158aadd0deab44a9a91a2d536128ab7abfe058ee37eb74539db85' now available on channel mychannel for chaincode definition fabcar:1.0
04:32:45.320,HandleStateUpdates,[cceventmgmt],Channel [mychannel]: Handling deploy or update of chaincode [fabcar]
04:32:48.127,CommitLegacy,[kvledger],[mychannel] Committed block [5] with 1 transaction(s) in 2823ms (state_validation=23ms block_and_pvtdata_commit=743ms state_commit=1768ms) commitHash=[4a2dae288556d5345a1e9c4e3e06faf51935e1bbd35cd282b473340c41c8fe1d]
04:32:48.260,1,[comm.grpc.server],streaming call completed grpc.service=protos.Deliver grpc.method=DeliverFiltered grpc.request_deadline=2020-03-19T04:33:13.051Z grpc.peer_address=172.22.0.18:38226 error="context finished before block retrieved: context canceled" grpc.code=Unknown grpc.call_duration=5.208604205s
04:32:53.839,callChaincode,[endorser],finished chaincode: fabcar duration: 4348ms channel=mychannel txID=8b1972ec
04:32:53.840,1,[comm.grpc.server],unary call completed grpc.service=protos.Endorser grpc.method=ProcessProposal grpc.peer_address=172.22.0.18:38256 grpc.code=OK grpc.call_duration=4.351469328s
